Workspace ID,User,Type,ID,Name,Project ID,Project Name,Software,Rescale On-Demand License,License Settings,Month,Submit Date,Start Date,Stop Date,Description,Billing Priority,Cores,Unit Hours,Unit Charge/Hour,Charge,SKU,Job Type,Walltime
04-040028043,hxb210012@utdallas.edu,Compute,zVWhZb,2024AeroMapV1_Batch6,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 23:13:34","Jun 15, 2023 23:14:08","Jun 15, 2023 23:43:55",Compute: Caesium,ODP,128,65.56445,$0.0957,$6.28,HW-04US01-CSM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,aRUWQb,2024AeroMapV1_Batch6(try3),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 23:44:53","Jun 15, 2023 23:46:16","Jun 16, 2023 01:22:15",Compute: Caesium,ODP,128,204.90667,$0.0957,$19.61,HW-04US01-CSM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,vYyjRb,2024YawAngleV1,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 16, 2023 00:30:22","Jun 16, 2023 00:31:13","Jun 16, 2023 00:36:26",Compute: Caesium,ODP,128,13.12000,$0.0957,$1.27,HW-04US01-CSM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,ZyCZYb,2024YawAngleV1 (Cloned),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 16, 2023 00:37:47","Jun 16, 2023 00:38:12","Jun 16, 2023 00:43:22",Compute: Caesium,ODP,128,14.22223,$0.0957,$1.38,HW-04US01-CSM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,JNnGUc,2024AeroMapV1_Batch3(try3),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 16, 2023 10:27:14","Jun 16, 2023 10:28:21","Jun 16, 2023 15:54:05",Compute: Caesium,ODP,128,689.10223,$0.0957,$65.95,HW-04US01-CSM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,AkuUJc,2024AeroMapV1_Batch6(try4),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 16, 2023 10:29:09","Jun 16, 2023 10:30:21","Jun 16, 2023 10:58:15",Compute: Caesium,ODP,128,62.96889,$0.0957,$6.04,HW-04US01-CSM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Rescale Platform,UtkiZb,gputest,,,,,,2023-06,"Jun 12, 2023 16:09:26","Jun 12, 2023 16:10:18","Jun 12, 2023 16:20:59",Rescale Platform,,,21.600000000,$0.0200,$0.44,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,OHTwRc,2024DOETest2,,,,,,2023-06,"Jun 13, 2023 23:42:19","Jun 13, 2023 23:43:19","Jun 13, 2023 23:54:39",Rescale Platform,,,3.155555555,$0.0200,$0.09,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,OHTwRc,2024DOETest2,,,,,,2023-06,"Jun 13, 2023 23:42:19","Jun 13, 2023 23:43:19","Jun 13, 2023 23:54:39",Rescale Platform,,,24.853333333,$0.0200,$0.50,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,eGUbUc,2024DOETest2 (Cloned),,,,,,2023-06,"Jun 14, 2023 00:02:54","Jun 14, 2023 00:03:31","Jun 14, 2023 00:14:11",Rescale Platform,,,16.560000000,$0.0200,$0.34,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,TazoRc,2024AeroMapV1,,,,,,2023-06,"Jun 14, 2023 00:24:14","Jun 14, 2023 00:24:58","Jun 14, 2023 01:24:34",Rescale Platform,,,1115.706666665,$0.0200,$22.36,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,LCWAQb,2024AeroMapV1_Batch1(failed),,,,,,2023-06,"Jun 14, 2023 11:03:58","Jun 14, 2023 11:04:49","Jun 14, 2023 11:52:36",Rescale Platform,,,78.480000000,$0.0200,$1.57,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,sCuzYb,2024AeroMapV1_Batch1,,,,,,2023-06,"Jun 14, 2023 12:01:14","Jun 14, 2023 12:08:38","Jun 14, 2023 12:16:21",Rescale Platform,,,18.360000000,$0.0200,$0.39,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,uYBsQb,2024AeroMapV1_Batch1 (Cloned),,,,,,2023-06,"Jun 14, 2023 12:19:06","Jun 14, 2023 12:19:24","Jun 14, 2023 16:03:14",Rescale Platform,,,397.830000000,$0.0200,$7.98,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,BtTwRc,2024AeroMapV1_Batch2,,,,,,2023-06,"Jun 14, 2023 13:05:27","Jun 14, 2023 13:05:52","Jun 14, 2023 13:13:14",Rescale Platform,,,17.910000000,$0.0200,$0.36,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,BbLXTc,2024AeroMapV1_Batch2,,,,,,2023-06,"Jun 14, 2023 13:18:30","Jun 14, 2023 13:18:53","Jun 14, 2023 18:20:56",Rescale Platform,,,543.540000000,$0.0200,$10.89,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,CowfSc,2024AeroMapV1_Batch3,,,,,,2023-06,"Jun 15, 2023 12:12:30","Jun 15, 2023 12:19:23","Jun 15, 2023 12:27:53",Rescale Platform,,,20.610000000,$0.0200,$0.42,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,bxNxGc,2024AeroMapV1_Batch3,,,,,,2023-06,"Jun 15, 2023 12:29:39","Jun 15, 2023 12:32:29","Jun 15, 2023 12:45:11",Rescale Platform,,,24.030000000,$0.0200,$0.51,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,hxxLUc,2024AeroMapV1_Batch4,,,,,,2023-06,"Jun 15, 2023 12:53:22","Jun 15, 2023 12:53:54","Jun 15, 2023 19:42:07",Rescale Platform,,,733.680000000,$0.0200,$14.70,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,wJRTUc,2024AeroMapV1_Batch3,,,,,,2023-06,"Jun 15, 2023 13:06:19","Jun 15, 2023 13:07:05","Jun 15, 2023 15:18:01",Rescale Platform,,,234.690000000,$0.0200,$4.71,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,FmuUJc,2024AeroMapV1_Batch5,,,,,,2023-06,"Jun 15, 2023 13:57:44","Jun 15, 2023 13:58:03","Jun 15, 2023 20:29:17",Rescale Platform,,,699.240000000,$0.0200,$14.01,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,PzNxGc,2024AeroMapV1_Batch6,,,,,,2023-06,"Jun 15, 2023 15:03:05","Jun 15, 2023 15:04:06","Jun 15, 2023 15:39:06",Rescale Platform,,,66.090000000,$0.0200,$1.35,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,GmuUJc,2024AeroMapV1_Batch7,,,,,,2023-06,"Jun 15, 2023 15:04:39","Jun 15, 2023 15:06:43","Jun 15, 2023 17:35:28",Rescale Platform,,,266.580000000,$0.0200,$5.34,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,JmuUJc,2024AeroMapV1_Batch8,,,,,,2023-06,"Jun 15, 2023 15:06:01","Jun 15, 2023 15:06:42","Jun 15, 2023 16:57:27",Rescale Platform,,,199.470000000,$0.0200,$3.99,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,zVWhZb,2024AeroMapV1_Batch6,,,,,,2023-06,"Jun 15, 2023 23:13:34","Jun 15, 2023 23:14:08","Jun 15, 2023 23:43:55",Rescale Platform,,,65.564444444,$0.0200,$1.32,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,aRUWQb,2024AeroMapV1_Batch6(try3),,,,,,2023-06,"Jun 15, 2023 23:44:53","Jun 15, 2023 23:46:16","Jun 16, 2023 01:22:15",Rescale Platform,,,204.906666667,$0.0200,$4.11,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,vYyjRb,2024YawAngleV1,,,,,,2023-06,"Jun 16, 2023 00:30:22","Jun 16, 2023 00:31:13","Jun 16, 2023 00:36:26",Rescale Platform,,,13.120000000,$0.0200,$0.27,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,ZyCZYb,2024YawAngleV1 (Cloned),,,,,,2023-06,"Jun 16, 2023 00:37:47","Jun 16, 2023 00:38:12","Jun 16, 2023 00:43:22",Rescale Platform,,,14.222222222,$0.0200,$0.30,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,JNnGUc,2024AeroMapV1_Batch3(try3),,,,,,2023-06,"Jun 16, 2023 10:27:14","Jun 16, 2023 10:28:21","Jun 16, 2023 15:54:05",Rescale Platform,,,689.102222222,$0.0200,$13.79,,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,AkuUJc,2024AeroMapV1_Batch6(try4),,,,,,2023-06,"Jun 16, 2023 10:29:09","Jun 16, 2023 10:30:21","Jun 16, 2023 10:58:15",Rescale Platform,,,62.968888888,$0.0200,$1.26,,,
04-040028043,hxb210012@utdallas.edu,Compute,wMXfUc,2024DOETest2,,,,,,2023-06,,,,72-core Catseye Max cluster,,,7.92223,$0.0768,$0.64,HW-04US01-CEM-I21-L00,,
04-040028043,hxb210012@utdallas.edu,Rescale Platform,wMXfUc,2024DOETest2,,,,,,2023-06,,,,Rescale Platform,,,7.922222222,$0.0200,$0.16,,,
04-040028043,hxb210012@utdallas.edu,Applied Credit,,,,,,,,2023-06,,,,CSP Credit Transfer Usage,,,,,-$393.83,CR-040000-AWS-000-USG,,
,,,,,,,,,,,,,,Total,,,,,$111.16,,,
