Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Sidepod DF,Rear Wing DF,Front Wing DF,Aero Efficiency,FA-RA Difference,RW 3rd Element AOA,RW 3rd Element X,RW 3rd Element Z,RW 2nd Element AOA,RW 2nd Element X,RW 2nd Element Z,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,RW Biplane1 Element AOA,RW Biplane1 Element X,RW Biplane1 Element Z,RW Biplane2 Element AOA,RW Biplane2 Element X,RW Biplane2 Element Z,FW 3rd Element AOA,FW 3rd Element X,FW 3rd Element Z,FW 1st Element AOA,FW 1st Element Z,FW 2nd Element AOA,FW 2nd Element X,FW 2nd Element Z,Bullhorn AOA,Bullhorn X,Bullhorn Z Angle,FW Biplane Element AOA,FW Biplane Element Z,Generation,Sim_Num
21142198,110.596257707165,-1716.69422324384,27.9155142585079,5084.54020717427,82.6807434483743,0.529537608381051,5.0975616619425,2.69935061103997,48.2233401523662,2.22269229599428,1.1769991625878,9.35881999204855,0.265694888378058,47.4329991848728,63.269908586751,2.29341761391322,54.7652291898664,5.4119,91.8737,-21.2219,20.0422,-6.3148,21.7209,8.8953,83.4016,-35.0992,5.9611,-118.7848,-2.485,2.1301,-152.7652,2.8531,8.0208,-1.7471,11.6326,-4.7258,-10.349,-2.1138,-5.043,-11.3662,-1.2021,1.1417,-7.0965,8.0945,3.8664,1,16
20400440,98.0493556198742,-1973.56471392213,32.0925376025779,4056.08463540657,65.9568180170452,0.529723597159638,4.51766808627066,2.39311538943259,45.2446630721232,2.08466816678975,1.10429792019606,4.17345223695207,0.738316383381311,48.5225735675683,50.8829139670181,2.16709218197905,33.8642804144673,14.853,8.1814,3.7441,13.0839,47.4522,16.7007,14.0963,82.4145,0.9171,3.8866,-80.9365,-28.332,-6.3593,-128.7645,-33.3374,5.8068,-4.5641,11.1673,-3.7289,-10.3478,3.7186,3.1595,-9.2959,1.1616,-15.21,3.9262,8.9889,0.6043,1,17
20729204,119.569202412911,-2864.49060992469,46.580064977219,4488.54459332376,72.9891374353861,0.526842446440857,5.53933271035785,2.91835559677479,54.6042476151528,2.52967393639179,1.33273960534632,-0.669400592177302,0.84437142270953,61.1246715833277,57.9896349003904,2.18974178081579,26.409072458167,4.4527,71.6839,0.6735,4.389,132.2272,-5.123,14.3352,49.0694,-8.3337,9.8918,-249.159,-2.4732,4.7673,-255.5987,-2.3672,12.874,-12.6588,7.4179,-4.518,-10.2182,2.7216,-2.6199,-14.6349,5.3531,44.4404,-0.5626,-1.3584,6.5173,1,18
21090316,101.902139208734,-1381.03282945426,22.4572559982465,4885.54754214182,79.444883210227,0.565130579501395,4.4010202895198,2.48715114661372,49.0439090239768,2.11814237039476,1.19702702524765,14.3148517300863,1.72175887730625,38.8953230326642,60.0702811369782,2.07777359587948,56.9876272119805,-4.5794,38.5884,-39.3229,19.6507,-3.8864,-18.0957,27.4765,99.3601,-15.02,6.3834,-73.4446,4.4294,-1.7796,-160.4708,-17.146,7.2046,16.2671,9.2184,-3.4437,-10.5412,3.755,3.7464,0.6912,-9.8813,15.8671,4.6801,12.7863,12.0906,1,19
17998969,118.578111806073,-2892.69828104393,47.0387556599666,4399.38875181761,71.539356145803,0.516361061076171,5.60492651122688,2.89416580059108,57.4005981482198,2.71320001154513,1.40099083687332,-0.854402669103764,0.90456947399408,62.4148184139413,57.3051667856183,2.06579923609647,24.5006004858364,11.3808,71.0238,15.8096,-7.6089,54.8597,10.6672,17.4045,95.7961,12.3261,0.2162,-41.7213,-28.9028,-5.3968,-87.7457,-16.9479,9.9915,1.0877,15.6132,-4.7276,-10.5605,4.7887,-7.543,-8.2546,-1.4452,34.9394,4.1848,4.0743,13.0711,1,20
20048663,122.851773279378,-1944.84363385391,31.6254982723883,5610.05675416792,91.2262750066752,0.54993915003289,5.45237441761732,2.99847415288554,57.5159127861878,2.55265579901857,1.4038053604388,9.55953958536583,2.05569793313636,49.9058511160737,69.0801575154071,2.13596146402254,59.6007767342869,5.6037,82.7422,23.9345,16.654,60.8277,16.4484,23.1782,133.407,-46.2047,14.1755,-61.5359,-6.4565,-5.659,15.7177,-24.4865,13.1476,10.3551,15.0817,-4.2755,-10.4569,-4.0172,-3.5861,-12.5644,-5.4799,7.8002,-13.8596,7.7993,8.307,1,21
19722061,108.111372103768,-2118.37007623769,34.4472470794876,4530.05367259096,73.6641250240035,0.545715081377746,4.83530977782539,2.63870146889259,54.3831327563166,2.43230002957505,1.32734280857464,5.43793226203353,2.46226712651582,47.6655313251714,56.8491247625633,1.98795778441452,39.2168779445159,10.3014,121.9236,-13.6184,18.0326,17.5333,-46.5174,24.0096,144.0705,-37.0774,7.4877,-50.8361,-25.8002,-1.1415,-67.4234,-26.9589,9.9371,1.7777,17.2428,-2.8629,-10.2282,4.8195,7.2116,-8.1852,-10.9413,16.903,0.3858,7.1217,5.595,1,22
23870484,88.6554314637349,-1583.65296665157,25.7521032997678,3868.3070310479,62.90332816374,0.523628676371074,4.13238519840976,2.16383539169872,42.2083096019778,1.96740336118558,1.03018881790561,7.14876756492343,0.106913544677158,43.5632360353381,47.4958510391898,2.10042601326021,37.1512248639722,14.2119,3.2988,-42.44,19.7853,130.9706,-36.8582,19.7018,90.5678,-9.0662,8.5546,49.1848,-10.8881,0.0277,12.9376,-45.1496,5.5635,-9.1758,11.4291,-4.2381,-10.4821,-0.6324,6.4625,-15.0338,0.2276,-16.2961,-3.9635,10.1739,4.4266,1,24
20576391,112.017842635085,-2643.14893144789,42.9807828815144,4245.5073752432,69.0370597532837,0.55221033563568,4.95109826982645,2.7340476373461,53.6737488305488,2.3723363949771,1.31002867691104,0.0619113440895539,0.38705329731065,59.0294872153517,53.8876795704864,2.08701357881172,26.0562768717692,6.53,130.8808,2.5512,23.6809,84.8684,18.358,18.0525,18.1463,-10.6894,6.1562,9.5066,0.7278,-5.7351,-1.3295,-3.7523,4.6125,0.5828,7.1665,-4.0246,-10.2905,4.6653,-8.1464,-8.6271,-14.5753,6.3521,-1.9311,0.7739,14.5547,1,25
22177481,116.123981225709,-2691.49194433615,43.7668984560349,4449.67571976964,72.3570827693769,0.5239063000076,5.40987415284371,2.83426715092309,52.7151163011909,2.45584195557037,1.2866310723463,0.250755822024912,0.911134621398228,59.3901273085911,56.6548409575234,2.20285924367933,28.590184313342,13.6174,139.3547,-42.9336,-8.9565,120.4998,-42.2633,19.0587,11.7559,-16.8417,14.2654,-41.3608,-20.7459,2.5826,-227.1038,-43.9326,13.7417,17.5556,13.5994,-3.501,-10.5936,-4.8314,-6.9492,-17.0169,-8.4482,-6.8494,1.5432,-4.9181,11.4993,1,26
20614535,97.2131564642296,-1172.25344636985,19.0622519454208,4805.97294701114,78.1509045185598,0.53503810523246,4.43464850305917,2.37270593244874,44.1495180656888,2.01400305598381,1.07756837900596,15.2440725544105,1.42121780286003,36.6808758832344,58.9629692787775,2.20190753429265,59.088652573139,11.5816,73.4673,-37.9429,23.2707,34.8654,13.3209,9.5529,30.4637,-17.204,7.2293,-166.9477,-11.2832,-2.4139,-32.0294,-4.7118,12.1413,-6.4167,13.0968,-2.9015,-10.3007,0.8994,-2.9006,-3.7855,-13.8181,25.5937,-15.0719,1.1417,6.8105,1,27
21762664,115.614928803307,-2540.69770016465,41.3148025520153,4569.16524410787,74.3001262509954,0.542549621380594,5.20107752751794,2.82184264332598,59.0760259976478,2.65760654278622,1.44188342356726,2.5038494258731,1.11548501952198,51.6587306608025,61.4006733766476,1.95705325215867,32.9853236989801,10.5447,73.9195,13.6018,-4.5648,52.0673,2.5726,27.7897,6.7589,-39.0644,6.4186,-256.4809,-27.8282,-1.3241,-19.7952,-15.9183,5.8151,-5.7047,7.2928,-4.348,-10.3091,2.1845,3.3897,-1.3314,-13.8397,18.4445,6.5486,-2.4624,11.8124,1,28
20134329,104.111690858591,-2179.1585871364,35.4357414308812,4223.30051189892,68.6759494274432,0.512098272286401,4.96209492002565,2.54108023546626,45.958555564411,2.1904429100823,1.12172202979514,2.86060936802342,0.852236025890421,52.562375431972,52.976735523258,2.26533862041591,33.2402079965621,-3.4461,135.1978,-45.8785,-3.3633,120.8334,-18.9204,13.8672,9.8995,-5.0593,13.1987,-11.6195,-37.6104,-9.8705,-183.2616,-47.9595,12.5597,8.1962,17.0246,-4.2539,-10.5586,4.4644,-6.6503,-8.8433,7.4611,37.1645,-15.5143,13.3209,8.7559,1,29
19114100,116.376298032937,-2681.67224268859,43.6072182883935,4475.0119116879,72.7690797442453,0.538833948438101,5.2714304428826,2.84042567945524,54.2537155847718,2.45749944625424,1.32418412990962,0.583763488150597,0.925766592688797,58.8454445322951,57.6040091179213,2.14503830343376,29.1618614558518,12.6736,88.0286,-41.2763,6.5474,64.9759,0.3382,13.1048,39.2703,-7.2085,8.0893,13.2476,-41.2053,3.2533,-243.2902,13.1369,5.6153,5.1259,14.3559,-4.5585,-10.6051,4.4028,3.0553,-8.002,-3.6023,68.1153,-1.8335,3.3764,11.0313,1,30
20496621,128.414896083634,-3244.32644105334,52.7566527563334,4652.68409736014,75.6582433269721,0.521232066492477,6.01316545685247,3.13425465723639,56.5888829355244,2.64983523319714,1.38117909446392,-2.46073827287156,0.426445330562338,67.8119599252486,61.842909725953,2.26926013418477,22.9015905706388,13.9905,33.5767,1.692,-3.8893,28.224,-31.9243,18.6863,26.4669,-38.6235,5.0537,-200.5204,-6.9668,-8.9127,-127.3918,-13.5855,10.5108,13.8521,8.3707,-4.3461,-10.2283,-6.7441,-1.7623,-13.9681,-11.4319,71.8438,-5.2356,9.5371,8.5358,1,31
21444456,112.384883188455,-2484.65626333335,40.4035013384681,4426.57159234769,71.9813818496993,0.564879877230071,4.85591057260526,2.74300616809346,56.9745295081357,2.46174763329902,1.39059170086937,2.3066314679258,1.74696280876116,52.3568340399144,56.6396691822817,1.97254605099296,31.5778805112312,7.5247,15.7133,-38.5933,17.9125,80.3338,15.3596,27.1422,71.6434,-49.8127,14.3666,-156.4653,7.3044,-2.1672,-16.4437,9.4938,7.079,13.5217,8.7482,-3.3655,-10.3411,-3.5277,-8.7787,-4.0077,-12.9413,10.7761,6.7695,-3.7629,14.164,1,32
20281507,108.371731734446,-1905.83878404461,30.991232468811,4758.59605703224,77.3804992653572,0.560246211112525,4.72123868643811,2.64505608583483,50.6236035695028,2.2054285909623,1.23558301196586,7.30508213437601,1.15657776903307,47.3938950406841,59.6873917782218,2.14073523204761,46.3892667965462,-2.99,126.4689,1.7113,17.9916,96.127,19.918,23.6488,-0.8217,1.7784,2.8568,-131.3355,-11.1744,7.0791,-149.5122,9.1227,5.2389,4.5337,14.5086,-3.6724,-10.4898,-3.1322,2.5111,-17.0737,-0.9692,73.2981,8.0823,-1.2342,13.7829,1,34
19335139,116.12195916429,-1673.77776925356,27.2176410629969,5467.26554603583,88.9043181009958,0.506749557081405,5.59293587348683,2.83421777667415,45.4732324251582,2.1901875816119,1.10987658690702,9.92746160123632,2.58278923518322,47.2990667321554,64.988405702342,2.55363326887765,61.6866770379988,-1.3361,15.7712,-47.844,-2.807,67.5175,-29.5072,9.3566,29.9985,17.0231,0.1371,-37.1572,-42.3546,-0.2805,-150.5814,-22.6039,6.4558,-12.2877,15.9313,-3.8526,-10.3756,-4.8149,10.2023,-14.2307,0.8911,13.2532,7.3336,14.6213,2.8043,1,35
20886518,120.107549625348,-2397.63551325784,38.9884392053128,4988.5059240771,81.1191104197275,0.54761266626114,5.35322762393528,2.93149525224598,53.3452054257182,2.37761096767217,1.30200988133868,4.05733618123341,0.658192484464436,57.5576160313559,61.3201664843883,2.25151536425508,42.1306712144147,-2.919,56.8598,-13.5801,18.9009,55.7409,0.6334,17.3884,66.4058,-45.0817,7.6898,-1.1624,2.7418,6.8992,-45.8371,5.4311,7.6263,-2.5305,7.7612,-4.6207,-10.2061,-1.319,-4.5172,-8.553,-0.5415,38.8355,-14.0671,1.5126,7.7578,1,36
20273485,118.873168602916,-2553.13353002203,41.5170241130829,4757.09833420377,77.3561444895286,0.541540386924972,5.35761969351184,2.90136744182125,51.2859602482788,2.31146081034222,1.25174938159464,2.04934745369953,1.77789456627495,58.6109313388143,59.0318955562709,2.31785010999975,35.8391203764457,-9.0897,75.6827,-11.6192,-4.8241,13.9059,-30.5454,23.0356,49.0715,-49.1288,12.9399,-131.2608,0.5278,-5.5354,-130.8046,18.4344,12.7651,4.394,16.7378,-3.2862,-10.3944,-2.9403,-2.2326,-16.8663,-0.7129,62.5438,-1.5761,9.1466,13.1737,1,41
21149402,123.538285778182,-2972.8916880096,48.3427969768637,4624.22651588213,75.1954888010025,0.529603864351949,5.69336878102709,3.01523010761269,54.722548642658,2.52193599820346,1.33562705029685,-0.969314354109085,0.412504281352466,63.5940877928757,60.5715381710084,2.25753896414613,26.8526918241388,8.9091,96.7517,15.2212,4.0409,38.2918,-15.0596,18.4123,15.5869,1.5344,3.1855,-254.2926,12.4145,-5.6293,-255.1491,2.0701,8.9686,15.2811,14.9494,-4.311,-10.3192,-5.6099,5.2867,-9.2078,-14.1062,-13.0597,-14.8043,10.438,10.8201,1,44
20501540,114.097068228729,-2391.10756305596,38.8822868780829,4625.41293171227,75.2147813503537,0.554419196182226,5.02290655457909,2.78479581448818,54.4631615316082,2.39763716357555,1.32929606896619,3.34550415686021,2.51388096252351,52.3172084593231,58.0970336843675,2.09494023152717,36.3324944722708,4.8,34.8266,-37.7686,-4.6019,113.2333,-22.0313,29.4859,17.6858,-40.4022,7.3921,-65.6484,3.9134,-0.6773,-20.6479,-6.4394,6.765,9.5399,11.4991,-2.9228,-10.3974,4.358,9.8353,-7.0313,7.7181,43.5681,-17.3651,10.2139,2.2069,1,45
22322789,94.606161528747,-1812.37028754407,29.4713222183694,4005.53618106987,65.1348393101353,0.545327150494311,4.23429572692784,2.3090764231158,43.9489483357984,1.96702668340156,1.07267305620565,5.38119025976122,-0.172838197576678,46.7565608282428,51.0419576925121,2.15263766509029,35.6635170917659,10.8562,5.3482,-41.8045,14.5153,143.434,-25.2226,18.3325,37.7157,12.7355,4.3607,-20.3747,-48.5593,-3.5118,-251.4201,3.2903,7.2858,7.7293,7.1764,-4.0421,-10.4425,-7.2727,8.3699,-7.9237,4.4481,10.8041,6.9141,14.9287,3.2498,1,46
20982515,93.2451998135251,-1021.98680647932,16.6187355220267,4712.22587476835,76.6264642912596,0.505489638487533,4.50228618667983,2.2758590168722,43.3100477894709,2.09119858498812,1.05707921673128,16.4061041530195,1.52639057434752,34.2658244921753,58.6007865194888,2.15296922014004,60.0077287692329,-9.5842,97.4357,23.5415,12.0616,55.0038,-31.1072,6.1914,25.5131,7.3565,11.9889,12.1887,4.2895,4.6353,38.1373,-0.924,12.9911,-3.6421,10.0325,-3.6798,-10.3536,0.491,-4.0253,-1.8064,-6.9752,54.9948,-0.7339,9.6576,14.9174,1,48
20384639,110.21015128765,-2531.88978487458,41.1715752483181,4245.60062084817,69.0385760390496,0.538739307097608,4.99300270279576,2.68992681644067,56.3723631735662,2.55391502869792,1.37589441294688,1.28560180689958,1.29230963585153,54.3515459248298,54.66819627357,1.95503869419704,27.8670007907316,10.5411,116.1314,-5.1798,5.8389,139.2473,-0.2988,25.0187,99.3472,-41.1744,14.6061,-69.4779,-40.9527,-7.2613,-208.2485,-21.7555,9.5069,9.7683,12.3854,-3.7846,-10.2764,1.2604,-0.3927,-16.6196,1.2255,64.0076,-6.4942,13.4718,2.536,1,49
21231639,112.958851633156,-1636.38363434399,26.6095674223226,5310.14102096667,86.3492842105447,0.57414775957986,4.80192617902404,2.75701515735453,55.0995392112318,2.34230355536753,1.34482833857021,13.550548172698,2.13880177877005,43.1643247506653,65.9920210717707,2.05008704700983,59.7397167882221,13.0786,76.5175,-48.6295,16.6757,91.6286,-38.7345,26.5586,37.4938,-46.9468,11.708,-135.9773,-21.9534,-1.3136,47.2968,2.8133,10.1418,-9.5863,7.9858,-4.2248,-10.5915,-6.8462,-2.325,-10.2779,-13.6035,69.3164,5.9487,12.774,9.6611,1,51
19884793,115.998953885806,-1405.31208774428,22.8520659602095,5728.16688719138,93.1468879252998,0.54278201983558,5.21611926484052,2.83121575027341,47.8719644747287,2.15265627643688,1.16842312173615,14.4335990822071,2.03463739946343,46.0746943653945,67.1126172447735,2.42310828808877,70.2948219650903,3.9307,88.229,-22.5932,24.2744,141.9078,8.3641,17.6776,48.1739,23.8839,4.1775,-88.4256,-17.8422,5.1625,-43.0938,2.4933,9.6619,-2.2045,13.2756,-4.2277,-10.2769,4.8407,9.8982,-2.6681,-11.4426,42.0486,-2.8233,3.6988,14.7941,1,53
22246905,104.117769148395,-1846.81606304726,30.0314519864929,4556.01682688071,74.0863171616353,0.541961748809396,4.68894451852711,2.54122857133119,53.1738499752722,2.39468473450653,1.29782752656032,7.8622753092395,0.633573415131519,44.4999761246157,58.2338959907892,1.95806339388277,44.0548651751423,-5.5488,72.6408,-11.1586,22.6541,149.1767,-49.5448,27.2942,37.9573,-33.7289,14.388,-105.0216,2.6906,-5.6675,18.9805,-12.9664,6.8282,5.0861,15.0357,-3.7413,-10.2011,-4.5298,-3.729,-12.7916,-6.081,24.4777,-11.5791,8.3607,14.2991,1,55
22294987,93.1798747584554,-1024.22354533662,16.6551075879533,4705.97190220966,76.5247671702635,0.523083566419867,4.347803773515,2.27426470394398,40.790894792852,1.90331664176574,0.995593657001106,15.9067219872422,-0.381878176399672,37.9039332007153,58.0122865498559,2.28433024653295,59.8696595823102,4.515,35.6827,-16.3006,15.9037,144.5638,24.2552,2.8452,-10.4977,-24.23,12.395,25.2165,-47.4327,-0.4588,-48.5681,18.5984,6.9951,-10.9949,14.0083,-4.2889,-10.5258,-5.3458,-4.9462,-16.4994,-10.5993,60.3778,-17.8277,-0.6122,5.4438,1,56
18476843,113.585457051697,-1726.99899161759,28.0830821949367,5258.05942998152,85.5023748564696,0.535563064686298,5.17643766812549,2.77230882169888,47.3880268108766,2.1596177307304,1.15661149042084,9.41243936703655,3.90952294218445,45.6941001956442,62.5915744704563,2.39692311952577,57.419292661533,3.0862,146.687,-48.6554,-5.1233,-14.8053,-6.7786,17.967,58.4234,-15.736,4.837,-230.4122,11.1591,0.6379,19.5794,10.6575,13.0139,-11.1066,14.4005,-3.0336,-10.3095,-5.4672,1.3578,-15.8778,-2.0206,70.3197,-9.8242,-4.7831,3.3792,1,57
19349156,115.081311019741,-2379.12793437902,38.6874836972865,4697.91961706274,76.3938273221595,0.528454882633163,5.31515276244088,2.80881842925302,52.5577881071504,2.42743734990631,1.28279111984409,3.37685236169531,0.793119344514557,54.117789694292,60.9165051726601,2.18961480618482,37.7063436248731,9.1954,36.3697,-10.5379,-6.3014,61.4309,-13.44,22.2662,1.422,-6.8851,8.4988,-259.2624,-27.4979,-7.3826,-7.5372,-34.4658,12.6055,-0.761,15.634,-4.3049,-10.2201,3.5044,0.5749,-4.1322,9.8227,31.9476,3.2688,-0.5258,13.8855,1,59
22102443,94.304444205232,-2020.22101481117,32.8512252098888,3779.13102627072,61.4532189951018,0.571141311738956,4.03002230630227,2.30171222635873,55.1281713432056,2.3558567370937,1.34552710709275,4.35791651087629,0.776621640902131,40.7466188402536,51.6241781761431,1.71063980370636,28.601993785213,11.7145,42.9913,16.9248,23.7727,-3.297,18.3402,25.2253,54.5436,-46.0412,11.2559,-227.1046,-28.8852,3.6779,44.5722,19.8532,7.0303,5.7015,14.0565,-3.3507,-10.5914,4.9378,-7.4866,-8.0119,-6.2743,-8.3087,-19.9189,-0.2508,2.2074,1,60
20462179,107.851330678079,-1976.81017709615,32.1453127399805,4655.6220478383,75.7060179378222,0.531428802694314,4.95335330203562,2.63235461462272,45.6911685675491,2.0984859368447,1.11519586888823,5.74320295802331,1.57896388034231,50.2205292020347,57.8486849364472,2.36044150454662,43.5607051978416,1.8843,148.7337,-48,-5.2639,1.7325,-10.4496,19.9213,1.3801,-7.1414,14.2653,-231.7037,0.7943,9.7477,-115.7577,-20.6011,4.4195,-5.0641,8.078,-3.017,-10.1915,-2.9754,9.5568,-10.3055,-8.2319,24.6349,-16.8267,12.0335,7.035,1,61
19944485,121.056165105489,-2104.17949659104,34.2164911748549,5340.29805806395,86.8396739303242,0.544905662614256,5.42231146815145,2.95464822345394,56.0199830778294,2.50923029342511,1.36729379569057,7.50565693799845,1.55441047654185,51.7416061979388,65.906348902618,2.16094612055316,52.6231827554693,-1.0028,41.3423,23.0664,6.9972,37.678,23.4359,25.4992,47.3118,-11.9132,12.9713,35.4564,3.556,-7.5317,-17.1409,-29.1659,8.0313,10.9026,12.3104,-4.1388,-10.4174,-6.0495,-1.6131,-14.2099,-12.8272,31.1373,3.4616,0.0648,5.3583,1,62
